code right_est right_sd left_est left_sd all_est all_sd p_inflation
107 0.017141 0.007172 0.001637 0.005463 0.018333 0.008294 0.48674
106 0.015887 0.007243 0.013616 0.006375 0.025058 0.008497 0.36361
114 0.008512 0.007101 0.007406 0.00594 0.009966 0.008041 0.31272
160 0.03485 0.007453 0.036213 0.006958 0.053465 0.008872 0.09607
161 0.027196 0.007307 0.02332 0.006554 0.041872 0.008651 0.25486
73 0.009971 0.007128 0.000757 0.004997 0.005638 0.007901 0.33163
235 0.019438 0.00728 0.00741 0.006126 0.017085 0.008394 0.22237
117 0.018415 0.007236 0.00681 0.006367 0.020683 0.008537 0.36113
221 -0.002555 0.006328 -0.002285 0.004699 -0.004673 0.007054 0.50609
145 0.018936 0.007221 -0.000952 0.005311 0.014664 0.008277 0.39076
77 0.021957 0.007336 0.020009 0.006608 0.038783 0.008754 0.40483
213 0.010139 0.007135 0.009505 0.006261 0.013599 0.00829 0.31632
115 0.137319 0.008174 0.131366 0.007841 0.197351 0.009459 0
242 0.003264 0.006903 0.00058 0.005697 0.001946 0.007985 0.43592
134 0.050954 0.007657 0.06245 0.007215 0.085009 0.009044 0.02013
279 0.021087 0.007293 0.016999 0.006635 0.025493 0.008584 0.16801
4 0.094249 0.007915 0.077084 0.007421 0.126664 0.009233 0.000879999999999992
239 0.008147 0.007054 0.001185 0.005979 0.006508 0.008231 0.41048
227 -0.007078 0.00631 -0.001717 0.005732 -0.009869 0.007581 0.46367
265 0.003316 0.007022 -6.9e-05 0.005898 0.003832 0.008235 0.5199
